employee_id,date,performance_score,absence_days,feedback_text,team
E127,2024-01-01,3.8,2.0,Excellent client communication.,Finance
E113,2024-01-02,3.42,1.0,Great team player.,Finance
E150,2024-01-03,3.89,1.0,Excellent client communication.,Marketing
E114,2024-01-04,4.41,1.0,Low engagement in meetings.,HR
E128,2024-01-05,3.36,0.0,Great team player.,Support
E107,2024-01-06,3.36,0.0,Showed signs of burnout.,Finance
E133,2024-01-07,4.45,2.0,Highly adaptable.,Marketing
E137,2024-01-08,3.96,2.0,Showed signs of burnout.,Engineering
E132,2024-01-09,3.22,2.0,Frequent sick leaves.,Marketing
E101,2024-01-10,3.83,3.0,Highly adaptable.,Finance
E143,2024-01-11,3.22,0.5,Showed signs of burnout.,Sales
E134,2024-01-12,3.22,0.5,Highly adaptable.,Sales
E134,2024-01-13,3.65,1.0,Highly adaptable.,Support
E143,2024-01-14,2.35,1.0,Needs to improve time management.,Sales
E102,2024-01-15,2.47,1.0,Demonstrated leadership in Q2.,Support
E122,2024-01-16,3.16,1.0,Demonstrated leadership in Q2.,Support
E110,2024-01-17,2.89,2.0,Needs to improve time management.,Finance
E133,2024-01-18,3.69,0.0,Excellent client communication.,Sales
E117,2024-01-19,2.96,0.0,Struggled with recent deadlines.,Support
E144,2024-01-20,2.65,0.0,Excellent client communication.,HR
E121,2024-01-21,4.38,0.5,Great team player.,Engineering
E123,2024-01-22,3.36,0.0,Great team player.,Marketing
E148,2024-01-23,3.54,0.5,Highly adaptable.,Marketing
E141,2024-01-24,2.65,0.5,Showed signs of burnout.,Finance
E101,2024-01-25,3.17,0.0,Showed signs of burnout.,Sales
E145,2024-01-26,3.57,0.5,Demonstrated leadership in Q2.,Sales
E117,2024-01-27,2.81,0.0,Consistent performer.,Support
E101,2024-01-28,3.73,0.0,Excellent client communication.,Product
E111,2024-01-29,3.14,2.0,Frequent sick leaves.,Support
E132,2024-01-30,3.32,0.0,Low engagement in meetings.,Engineering
